airline_id,flight_number,booking_cd,passenger_name,seat_number,booking_class,ticket_fare,flight_extras,loyalty_points,flight_status,departure_gate,departure_terminal,baggage_claim_area,flight_duration_hours,number_of_layovers,layover_locations_code,aircraft_model,pilot_name,cabin_crew_names,inflight_entertainment,meal_preference,wifi_available,has_window_seat,has_aisle_seat,is_emergency_exit_row,total_stops,departure_datetime,arrival_datetime,departure_year,departure_month,departure_day,departure_hour,departure_minute,flight_day_of_week,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute,flight_duration_minutes,is_long_haul,is_reward_member
6,2637,BQLF,BANUL,TWV,Economy,436.12,Meal,3649,Cancelled,ZN,A,JLO,8.06,1,WFQ,RUH,EYZH,DGAL,True,Non-vegetarian,False,True,True,False,2,2023-06-26 13:48:45,2023-10-30 21:01:47,2023,6,26,13,48,Monday,2023,10,30,21,1,483.6,True,True
5,6966,BZIL,KANHR,IGS,Economy,965.8,No Extras,2598,Pending,MH,D,CLJ,6.68,1,GGR,SRC,OKTY,VNDX,False,Vegetarian,False,False,False,False,2,2023-04-27 14:05:17,2023-10-27 09:12:24,2023,4,27,14,5,Thursday,2023,10,27,9,12,400.79999999999995,True,False
12,5670,BQPB,ECVFX,JUH,Economy,329.94,Meal,0,Pending,UU,C,MPS,9.48,1,LXB,LSA,UQZR,PKJB,False,Vegan,True,False,False,True,0,2023-03-31 12:47:06,2023-12-30 22:28:40,2023,3,31,12,47,Friday,2023,12,30,22,28,568.8000000000001,True,False
1,6203,BRPJ,UEUYB,UUC,Economy,165.07,Meal,0,Confirmed,HX,A,UTO,1.98,0,OGA,PNZ,OLHE,AHUN,False,Vegetarian,False,False,True,False,0,2023-08-04 02:46:37,2023-03-01 10:53:22,2023,8,4,2,46,Friday,2023,3,1,10,53,118.8,False,True
8,6134,BSDG,CDWZA,LTY,Business,491.32,Meal,0,Cancelled,XU,B,IKY,8.45,0,WVX,DLG,DJHP,DZUM,True,Non-vegetarian,False,True,True,False,2,2023-03-07 13:46:28,2023-03-30 07:10:26,2023,3,7,13,46,Tuesday,2023,3,30,7,10,506.99999999999994,True,True
1,2890,BPSW,PSZWH,YPS,First,533.31,Meal,0,Confirmed,EP,B,HCR,6.4,2,BXP,ENY,MQAP,SIMT,True,Non-vegetarian,True,False,True,False,2,2023-01-17 02:58:15,2023-10-24 11:42:36,2023,1,17,2,58,Tuesday,2023,10,24,11,42,384.0,True,True
5,4205,BEEW,BCNGM,UHU,Business,438.34,Meal,0,Pending,SU,C,ZGA,7.97,0,EMT,VRD,PKTI,MXGP,False,Non-vegetarian,False,True,True,True,0,2023-09-23 12:03:42,2023-05-28 07:17:26,2023,9,23,12,3,Saturday,2023,5,28,7,17,478.2,True,False
6,9669,BWGY,GPCZE,GLP,Economy,798.54,Extra baggage,704,Cancelled,HM,D,EGR,10.95,1,ZZN,WRC,BYQB,TGMA,True,Vegan,False,False,True,False,0,2023-11-17 19:12:05,2023-03-05 06:40:04,2023,11,17,19,12,Friday,2023,3,5,6,40,657.0,True,True
3,3366,BQAC,WCXOT,JCR,First,519.29,Meal,0,Cancelled,DT,D,RPX,8.9,1,JIO,WYU,MIRC,FMOP,False,Vegetarian,True,True,True,True,2,2023-01-14 17:37:22,2023-12-10 22:33:03,2023,1,14,17,37,Saturday,2023,12,10,22,33,534.0,True,True
15,8559,BPVB,KWREV,RKY,Economy,340.43,No Extras,0,Pending,OL,C,LPL,2.4,2,WUW,TSO,OQNZ,PTQN,True,No meal,False,True,True,False,0,2023-12-14 00:23:18,2023-09-28 12:15:00,2023,12,14,0,23,Thursday,2023,9,28,12,15,144.0,False,True
5,3526,BYAU,MANII,AOM,First,512.05,No Extras,0,Cancelled,UZ,A,ZQN,4.17,2,XAY,PPK,IFGC,ZTNM,False,No meal,False,False,False,True,0,2023-07-12 20:20:27,2023-10-25 03:12:24,2023,7,12,20,20,Wednesday,2023,10,25,3,12,250.2,False,False
14,8807,BGJC,DUYZB,AOR,Economy,904.61,Meal,2303,Pending,YD,B,BGD,10.88,1,FQE,VKK,CMCG,IACU,True,Vegan,False,True,False,False,0,2023-05-24 13:28:20,2023-04-27 03:05:02,2023,5,24,13,28,Wednesday,2023,4,27,3,5,652.8000000000001,True,True
18,1366,BRCG,PETRB,VFV,Business,868.56,Meal,0,Confirmed,QI,B,KEB,4.32,1,FGU,YHI,MUAC,QYCQ,True,Vegetarian,True,False,True,False,1,2023-12-01 21:14:39,2023-01-09 18:11:31,2023,12,1,21,14,Friday,2023,1,9,18,11,259.20000000000005,False,True
16,7521,BOAX,NOYJP,FOF,Economy,672.46,Meal,0,Pending,TO,A,QCC,4.38,2,XPO,VCK,JVCD,FSCS,False,No meal,False,True,True,False,1,2023-06-26 22:04:22,2023-06-05 06:21:09,2023,6,26,22,4,Monday,2023,6,5,6,21,262.8,False,True
6,7606,BSEZ,HZZXX,XVY,First,668.34,No Extras,0,Pending,GI,A,YSE,8.38,0,ITG,HVZ,GLYB,XKNC,False,Non-vegetarian,True,True,False,True,0,2023-09-11 16:44:33,2023-10-11 08:12:21,2023,9,11,16,44,Monday,2023,10,11,8,12,502.80000000000007,True,False
14,1012,BUVG,UNTJM,NUN,First,622.34,Extra baggage,681,Pending,MI,D,GOV,2.85,2,LWB,TFN,ZEBD,DMDF,False,Vegetarian,True,True,False,False,0,2023-01-24 12:43:37,2023-09-21 05:02:30,2023,1,24,12,43,Tuesday,2023,9,21,5,2,171.0,False,False
8,9727,BKAV,SBZEN,TQK,First,267.69,Extra baggage,0,Pending,EL,A,LMN,7.64,1,IFM,OOS,OVSG,OYGQ,False,Vegan,True,False,False,True,1,2023-07-04 16:59:31,2023-05-19 02:55:56,2023,7,4,16,59,Tuesday,2023,5,19,2,55,458.4,True,True
7,4239,BBNJ,XUWUZ,RKT,Economy,634.86,Meal,0,Confirmed,ZI,B,CZK,7.91,0,CRQ,GMY,FFFC,RLXJ,True,No meal,False,True,False,False,1,2023-01-29 03:21:53,2023-09-08 07:55:52,2023,1,29,3,21,Sunday,2023,9,8,7,55,474.6,True,True
8,3317,BCNE,YXHAE,ITH,Economy,620.32,Extra baggage,870,Pending,OK,A,MTS,9.03,1,YCF,CAQ,EYYM,GNTC,False,Non-vegetarian,False,False,False,True,0,2023-01-04 08:22:14,2023-04-06 14:33:16,2023,1,4,8,22,Wednesday,2023,4,6,14,33,541.8,True,False
13,5042,BQGA,YKHQY,RQY,Business,590.39,No Extras,0,Cancelled,PE,B,NDN,9.29,2,IZQ,LSJ,YZEJ,GKSL,False,Vegan,True,True,True,True,2,2023-09-25 00:54:26,2023-07-10 22:54:23,2023,9,25,0,54,Monday,2023,7,10,22,54,557.4,True,False
6,8485,BXKF,JNAEO,ZLV,Economy,814.97,Meal,163,Confirmed,CX,D,IRB,9.54,1,VKG,YYD,HXQN,LVMR,False,Vegan,True,True,True,False,2,2023-07-19 01:46:48,2023-05-19 03:11:03,2023,7,19,1,46,Wednesday,2023,5,19,3,11,572.4,True,True
18,1375,BPNQ,JOAXK,ZES,Economy,93.18,No Extras,3523,Cancelled,AM,D,JIT,10.82,0,KZX,GDB,ANOM,GGES,True,Vegan,False,True,True,True,1,2023-12-14 04:07:22,2023-07-30 12:23:43,2023,12,14,4,7,Thursday,2023,7,30,12,23,649.2,True,True
2,1256,BONG,RFBBQ,OYR,First,484.26,Meal,0,Pending,GI,C,MAU,1.08,1,NOJ,WPY,PHSH,OXHC,True,Vegan,False,True,True,False,1,2023-10-26 03:05:36,2023-10-24 08:29:20,2023,10,26,3,5,Thursday,2023,10,24,8,29,64.80000000000001,False,False
8,1449,BJSG,VETNL,ZXD,First,100.9,Meal,154,Cancelled,AB,A,HPX,8.54,2,NQH,QPH,GELJ,KPGG,False,Vegan,False,True,False,False,2,2023-07-11 00:58:17,2023-10-08 04:00:10,2023,7,11,0,58,Tuesday,2023,10,8,4,0,512.4,True,True
11,4212,BOXZ,DIRJG,NNM,Economy,806.0,Meal,0,Cancelled,EG,B,UQV,7.6,2,OPW,LUH,HFLU,RBLB,True,No meal,False,True,True,True,1,2023-02-28 17:03:35,2023-08-01 16:08:39,2023,2,28,17,3,Tuesday,2023,8,1,16,8,456.0,True,True
1,7175,BNOS,EOZMN,WHM,First,271.37,No Extras,0,Cancelled,TX,D,YCE,1.41,1,DIT,HUO,VBFQ,MUJQ,True,Vegetarian,False,False,False,True,1,2023-01-18 05:55:40,2023-10-30 04:32:31,2023,1,18,5,55,Wednesday,2023,10,30,4,32,84.6,False,True
6,6943,BUZP,YDFOM,AZQ,Economy,397.31,Extra baggage,4066,Cancelled,DJ,B,NDD,6.16,2,SOU,RXY,NCHV,GAUY,True,Non-vegetarian,True,False,False,False,2,2023-02-17 09:39:02,2023-12-24 09:33:08,2023,2,17,9,39,Friday,2023,12,24,9,33,369.6,True,False
16,9026,BBBA,MRQAD,IIZ,Economy,361.56,No Extras,0,Pending,HU,A,SAS,11.6,1,JLQ,YHU,MPUM,YVBS,True,No meal,True,True,True,True,2,2023-04-04 20:46:21,2023-08-20 04:09:28,2023,4,4,20,46,Tuesday,2023,8,20,4,9,696.0,True,False
